[09:22:57.096] [DEBUG] FPS: 60 | Frame time: 16.5023ms
[09:22:58.096] [DEBUG] FPS: 59 | Frame time: 16.5987ms
[09:22:59.097] [DEBUG] FPS: 59 | Frame time: 16.745ms
[09:23:00.113] [DEBUG] FPS: 60 | Frame time: 16.491ms
[09:23:01.113] [DEBUG] FPS: 59 | Frame time: 16.5726ms
[09:23:02.130] [DEBUG] FPS: 60 | Frame time: 16.5085ms
[09:23:03.146] [DEBUG] FPS: 59 | Frame time: 16.8644ms
[09:23:04.163] [DEBUG] FPS: 60 | Frame time: 16.6058ms
[09:23:05.163] [DEBUG] FPS: 59 | Frame time: 16.6146ms
[09:23:06.163] [DEBUG] FPS: 59 | Frame time: 16.7052ms
[09:23:07.163] [DEBUG] FPS: 59 | Frame time: 16.8237ms
[09:23:08.180] [DEBUG] FPS: 59 | Frame time: 16.9319ms
[09:23:09.197] [DEBUG] FPS: 60 | Frame time: 16.7707ms
[09:23:10.213] [DEBUG] FPS: 60 | Frame time: 16.6717ms
[09:23:11.213] [DEBUG] FPS: 59 | Frame time: 16.811ms
[09:23:12.214] [DEBUG] FPS: 59 | Frame time: 16.7587ms
[09:23:13.230] [DEBUG] FPS: 60 | Frame time: 17.1224ms
[09:23:14.247] [DEBUG] FPS: 60 | Frame time: 16.5732ms
[09:23:15.264] [DEBUG] FPS: 59 | Frame time: 17.175ms
[09:23:16.280] [DEBUG] FPS: 60 | Frame time: 16.5529ms
[09:23:17.280] [DEBUG] FPS: 59 | Frame time: 16.627ms
[09:23:18.297] [DEBUG] FPS: 60 | Frame time: 16.7688ms
[09:23:19.313] [DEBUG] FPS: 59 | Frame time: 16.8007ms
[09:23:20.313] [DEBUG] FPS: 59 | Frame time: 16.8824ms
[09:23:21.330] [DEBUG] FPS: 60 | Frame time: 16.7542ms
[09:23:22.347] [DEBUG] FPS: 60 | Frame time: 16.6788ms
[09:23:23.364] [DEBUG] FPS: 59 | Frame time: 16.974ms
[09:23:24.380] [DEBUG] FPS: 60 | Frame time: 16.7003ms
[09:23:25.397] [DEBUG] FPS: 59 | Frame time: 17.0851ms
[09:23:26.413] [DEBUG] FPS: 60 | Frame time: 16.7116ms
[09:23:27.414] [DEBUG] FPS: 59 | Frame time: 16.7564ms
[09:23:28.430] [DEBUG] FPS: 60 | Frame time: 16.72ms
[09:23:29.447] [DEBUG] FPS: 60 | Frame time: 16.653ms
[09:23:30.447] [DEBUG] FPS: 59 | Frame time: 16.4901ms
[09:23:31.447] [DEBUG] FPS: 59 | Frame time: 16.6524ms
[09:23:32.447] [DEBUG] FPS: 59 | Frame time: 16.7621ms
[09:23:33.464] [DEBUG] FPS: 59 | Frame time: 16.8793ms
[09:23:34.464] [DEBUG] FPS: 59 | Frame time: 16.2688ms
[09:23:35.480] [DEBUG] FPS: 60 | Frame time: 16.7333ms
[09:23:36.480] [DEBUG] FPS: 59 | Frame time: 16.567ms
[09:23:37.497] [DEBUG] FPS: 60 | Frame time: 16.6497ms
[09:23:38.497] [DEBUG] FPS: 59 | Frame time: 16.4927ms
[09:23:39.517] [DEBUG] FPS: 55 | Frame time: 38.0365ms
[09:23:40.530] [DEBUG] FPS: 59 | Frame time: 15.9427ms
[09:23:41.530] [DEBUG] FPS: 59 | Frame time: 16.5648ms
[09:23:42.531] [DEBUG] FPS: 59 | Frame time: 17.309ms
[09:23:43.547] [DEBUG] FPS: 60 | Frame time: 16.2822ms
[09:23:44.547] [DEBUG] FPS: 59 | Frame time: 16.7392ms
[09:23:45.563] [DEBUG] FPS: 60 | Frame time: 16.6889ms
[09:23:46.564] [DEBUG] FPS: 59 | Frame time: 16.7851ms
[09:23:47.581] [DEBUG] FPS: 59 | Frame time: 17.0698ms
[09:23:48.597] [DEBUG] FPS: 60 | Frame time: 16.5078ms
[09:23:49.597] [DEBUG] FPS: 59 | Frame time: 16.6529ms
[09:23:50.614] [DEBUG] FPS: 59 | Frame time: 16.8832ms
[09:23:51.630] [DEBUG] FPS: 60 | Frame time: 16.6793ms
[09:23:52.630] [DEBUG] FPS: 59 | Frame time: 16.7559ms
[09:23:53.647] [DEBUG] FPS: 59 | Frame time: 16.7927ms
[09:23:54.664] [DEBUG] FPS: 59 | Frame time: 16.95ms
[09:23:55.664] [DEBUG] FPS: 59 | Frame time: 16.821ms
[09:23:56.681] [DEBUG] FPS: 60 | Frame time: 16.3429ms
[09:23:57.697] [DEBUG] FPS: 59 | Frame time: 16.8139ms
[09:23:58.714] [DEBUG] FPS: 60 | Frame time: 16.6247ms
[09:23:59.714] [DEBUG] FPS: 59 | Frame time: 16.77ms
[09:24:00.714] [DEBUG] FPS: 59 | Frame time: 16.8397ms
[09:24:01.731] [DEBUG] FPS: 60 | Frame time: 16.7384ms
[09:24:02.747] [DEBUG] FPS: 60 | Frame time: 16.7888ms
[09:24:03.764] [DEBUG] FPS: 60 | Frame time: 16.7166ms
[09:24:04.764] [DEBUG] FPS: 59 | Frame time: 16.7831ms
[09:24:05.781] [DEBUG] FPS: 59 | Frame time: 16.8373ms
[09:24:06.797] [DEBUG] FPS: 60 | Frame time: 16.6773ms
[09:24:07.797] [DEBUG] FPS: 59 | Frame time: 16.7657ms
[09:24:08.814] [DEBUG] FPS: 60 | Frame time: 16.6947ms
[09:24:09.831] [DEBUG] FPS: 60 | Frame time: 16.701ms
[09:24:10.831] [DEBUG] FPS: 59 | Frame time: 16.6622ms
[09:24:11.847] [DEBUG] FPS: 60 | Frame time: 16.8863ms
[09:24:12.864] [DEBUG] FPS: 60 | Frame time: 16.6364ms
[09:24:13.865] [DEBUG] FPS: 59 | Frame time: 16.6899ms
[09:24:14.881] [DEBUG] FPS: 54 | Frame time: 16.6678ms
[09:24:15.897] [DEBUG] FPS: 60 | Frame time: 16.5582ms
[09:24:16.897] [DEBUG] FPS: 59 | Frame time: 16.6645ms
[09:24:17.897] [DEBUG] FPS: 59 | Frame time: 16.5723ms
[09:24:18.897] [DEBUG] FPS: 59 | Frame time: 16.5742ms
[09:24:19.897] [DEBUG] FPS: 59 | Frame time: 16.7426ms
[09:24:20.914] [DEBUG] FPS: 59 | Frame time: 16.8421ms
